[2025-09-15 00:22:35] [INFO    ] discord.client: logging in using static token
[2025-09-15 00:22:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'HSC_Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1416320091737292953', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9260', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'af5f0bf56551741ad29843026d7aafd7', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1416321594866794508'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['sydney', 'singapore', 'hongkong', 'japan', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1416320091737292953', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-c0zk",{"micros":187538,"calls":["id_created",{"micros":664,"calls":[]},"session_lookup_time",{"micros":3166,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-43",{"micros":183367,"calls":["start_session",{"micros":177951,"calls":["discord-api-rpc-6c68f9c9d5-7mz7q",{"micros":81758,"calls":["get_user",{"micros":6248},"get_guilds",{"micros":10113},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":139},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":32865},"apex_experiments",{"micros":39934},"user_activities",{"micros":4},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":335,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":4953,"calls":[]},"connect_finished",{"micros":4957,"calls":[]},"build_ready",{"micros":23,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-15 00:22:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 00:22:37] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: af5f0bf56551741ad29843026d7aafd7).
[2025-09-15 00:22:37] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-15 00:22:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_id': None, 'premium_subscription_count': 0, 'stickers': [], 'safety_alerts_channel_id': None, 'channels': [{'version': 1757747782432, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1416321595831615529', 'flags': 0}, {'version': 1757747782435, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1416321595831615530', 'flags': 0}, {'version': 1757747782442, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1416321595831615529', 'name': 'general', 'last_message_id': '1416321716627439667', 'id': '1416321595831615531', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1757747782452, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1416321595831615530', 'name': 'General', 'last_message_id': None, 'id': '1416321595831615532', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1757748612755, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1416321595831615529', 'name': 'hsc-english-adv', 'last_message_id': '1416774487709581353', 'id': '1416325078420820141', 'flags': 0}], 'region': 'deprecated', 'owner_configured_content_level': 0, 'profile': None, 'rules_channel_id': None, 'vanity_url_code': None, 'nsfw': False, 'presences': [], 'incidents_data': None, 'emojis': [], 'large': False, 'joined_at': '2025-09-13T07:16:50.987000+00:00', 'preferred_locale': 'en-US', 'soundboard_sounds': [], 'system_channel_flags': 0, 'id': '1416321594866794508', 'owner_id': '888714509835980810', 'max_video_channel_users': 25, 'name': 'bot test', 'voice_states': [], 'verification_level': 0, 'hub_type': None, 'public_updates_channel_id': None, 'features': [], 'icon': None, 'home_header': None, 'threads': [], 'guild_scheduled_events': [], 'embedded_activities': [], 'activity_instances': [], 'unavailable': False, 'inventory_settings': None, 'premium_tier': 0, 'description': None, 'moderator_reporting': None, 'system_channel_id': '1416321595831615531', 'nsfw_level': 0, 'application_command_counts': {}, 'default_message_notifications': 0, 'members': [{'user': {'username': 'HSC_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1416320091737292953', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9260', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1416321715180408855'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T07:16:50.987000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'afk_timeout': 300, 'explicit_content_filter': 0, 'mfa_level': 0, 'banner': None, 'max_members': 25000000, 'splash': None, 'latest_onboarding_question_id': None, 'afk_channel_id': None, 'premium_features': None, 'stage_instances': [], 'lazy': True, 'member_count': 2, 'max_stage_video_channel_users': 50, 'version': 1757748607597, 'premium_progress_bar_enabled': False, 'discovery_splash': None, 'roles': [{'version': 1757747782418, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1416321594866794508', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757747810955, 'unicode_emoji': None, 'tags': {'bot_id': '1416320091737292953'}, 'position': 1, 'permissions': '2815076453444672', 'name': 'HSC_Bot', 'mentionable': False, 'managed': True, 'id': '1416321715180408855', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}]}}
[2025-09-15 00:22:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 00:22:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '27925d06695b8f8714128062f44fbff6', 'members': [{'user': {'username': 'terrificbamboo', 'public_flags': 0, 'primary_guild': None, 'id': '888714509835980810', 'global_name': 'TerrificBamboo', 'display_name_styles': None, 'display_name': 'TerrificBamboo', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T07:16:22.288000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'HSC_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1416320091737292953', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9260', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1416321715180408855'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T07:16:50.987000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1416321594866794508', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-15 00:22:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 00:22:37] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1416321594866794508.
[2025-09-15 00:22:39] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-15 00:22:39] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-15 00:22:59] [WARNING ] discord.ext.tasks: Clock drift detected for task daily_message_task. Woke up at 2025-09-14 14:22:59.999131+00:00 but needed to sleep until 2025-09-14 14:23:00+00:00. Sleeping until 2025-09-14 14:23:00+00:00 again to correct clock
[2025-09-15 00:23:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-14T14:23:00.224000+00:00', 'pinned': False, 'nonce': '3471153165597803805', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1416321715180408855'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T07:16:50.987000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1416791348631179274', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "Daily English Advanced Question Update 1\n\nCommon Module: \n\nPB Tutoring:Through the sharing of stories, we become more aware of ourselves and our shared human experiences. Explore this statement with close reference to your prescribed text.\n\nMod A: \n\nPremier Tutors: The things that are said in literature are always the same. What is important is the way they are said.' – Jorge Luis Borges\nAnalyse the way in which key values can be reimagined within textual conversations. In your response, make close reference to the quotation and the pair of prescribed texts that you have studied in Module A.\n\nMod B: \n\nPB Tutoring:\n“You tossed a blanket from the bed,\nYou lay upon your back, and waited;\nYou dozed, and watched the night revealing\nThe thousand sordid images\nOf which your soul was constituted;\nThey flickered against the ceiling.\nAnd when all the world came back\nAnd the light crept up between the shutters\nAnd you heard the sparrows in the gutters,\nYou had such a vision of the street\nAs the street hardly understands;\nSitting along the bed’s edge, where\nYou curled the papers from your hair,\nOr clasped the yellow soles of feet\nIn the palms of both soiled hands.”\n\nIn your view, how does Eliot’s portrayal of the complex nature of personal experience contribute to the enduring value of his poetry?\nIn your response, make detailed reference to Preludes and at least ONE other poem set for study.\n\n\nMod C: \n\nArt of Smart: \n(20 marks)\n“No one should be ashamed to admit they are wrong, which is but saying, in other words, that they are wiser today than they were yesterday.” – Alexander Pope\nUse this quote as a stimulus for a piece of persuasive, discursive or imaginative writing that expresses your perspective about a significant concern or idea that you have engaged with in ONE of your prescribed texts from Module A, B or C.", 'components': [], 'channel_type': 0, 'channel_id': '1416325078420820141', 'author': {'username': 'HSC_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1416320091737292953', 'global_name': None, 'display_name_styles': None, 'discriminator': '9260', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1416321594866794508'}}
[2025-09-15 00:23:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 00:23:00] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 00:23:00] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1416325078420820141/messages with {"content":"Daily English Advanced Question Update 1\n\nCommon Module: \n\nPB Tutoring:Through the sharing of stories, we become more aware of ourselves and our shared human experiences. Explore this statement with close reference to your prescribed text.\n\nMod A: \n\nPremier Tutors: The things that are said in literature are always the same. What is important is the way they are said.' \u2013 Jorge Luis Borges\nAnalyse the way in which key values can be reimagined within textual conversations. In your response, make close reference to the quotation and the pair of prescribed texts that you have studied in Module A.\n\nMod B: \n\nPB Tutoring:\n\u201cYou tossed a blanket from the bed,\nYou lay upon your back, and waited;\nYou dozed, and watched the night revealing\nThe thousand sordid images\nOf which your soul was constituted;\nThey flickered against the ceiling.\nAnd when all the world came back\nAnd the light crept up between the shutters\nAnd you heard the sparrows in the gutters,\nYou had such a vision of the street\nAs the street hardly understands;\nSitting along the bed\u2019s edge, where\nYou curled the papers from your hair,\nOr clasped the yellow soles of feet\nIn the palms of both soiled hands.\u201d\n\nIn your view, how does Eliot\u2019s portrayal of the complex nature of personal experience contribute to the enduring value of his poetry?\nIn your response, make detailed reference to Preludes and at least ONE other poem set for study.\n\n\nMod C: \n\nArt of Smart: \n(20 marks)\n\u201cNo one should be ashamed to admit they are wrong, which is but saying, in other words, that they are wiser today than they were yesterday.\u201d \u2013 Alexander Pope\nUse this quote as a stimulus for a piece of persuasive, discursive or imaginative writing that expresses your perspective about a significant concern or idea that you have engaged with in ONE of your prescribed texts from Module A, B or C.\n\n\n","components":[],"nonce":"3471153165597803805","enforce_nonce":true,"tts":false} has returned 200
[2025-09-15 00:23:00] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-15 00:23:00] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1416325078420820141/messages has received {'type': 0, 'content': "Daily English Advanced Question Update 1\n\nCommon Module: \n\nPB Tutoring:Through the sharing of stories, we become more aware of ourselves and our shared human experiences. Explore this statement with close reference to your prescribed text.\n\nMod A: \n\nPremier Tutors: The things that are said in literature are always the same. What is important is the way they are said.' – Jorge Luis Borges\nAnalyse the way in which key values can be reimagined within textual conversations. In your response, make close reference to the quotation and the pair of prescribed texts that you have studied in Module A.\n\nMod B: \n\nPB Tutoring:\n“You tossed a blanket from the bed,\nYou lay upon your back, and waited;\nYou dozed, and watched the night revealing\nThe thousand sordid images\nOf which your soul was constituted;\nThey flickered against the ceiling.\nAnd when all the world came back\nAnd the light crept up between the shutters\nAnd you heard the sparrows in the gutters,\nYou had such a vision of the street\nAs the street hardly understands;\nSitting along the bed’s edge, where\nYou curled the papers from your hair,\nOr clasped the yellow soles of feet\nIn the palms of both soiled hands.”\n\nIn your view, how does Eliot’s portrayal of the complex nature of personal experience contribute to the enduring value of his poetry?\nIn your response, make detailed reference to Preludes and at least ONE other poem set for study.\n\n\nMod C: \n\nArt of Smart: \n(20 marks)\n“No one should be ashamed to admit they are wrong, which is but saying, in other words, that they are wiser today than they were yesterday.” – Alexander Pope\nUse this quote as a stimulus for a piece of persuasive, discursive or imaginative writing that expresses your perspective about a significant concern or idea that you have engaged with in ONE of your prescribed texts from Module A, B or C.", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-14T14:23:00.224000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1416791348631179274', 'channel_id': '1416325078420820141', 'author': {'id': '1416320091737292953', 'username': 'HSC_Bot', 'avatar': None, 'discriminator': '9260', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '3471153165597803805'}
[2025-09-15 00:23:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:23:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 00:23:59] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:23:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 00:24:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:24:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 00:25:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:25:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 00:26:03] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:26:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 00:26:44] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:26:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 00:27:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-15 00:27:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
